format,dataset,operation,median_ns,mean_ns,p95_ns,p99_ns,min_ns,max_ns,stddev_ns,cv_pct,throughput_mbps,serialized_size,runs
surp,small_objects,encode,17900667,17965317,20816375,20816375,16752667,20816375,1243606,6.92,504.6,9033510,10
surp,small_objects,decode,19978250,20068388,22463417,22463417,18617625,22463417,1249417,6.23,452.2,9033510,10
surp,small_objects,roundtrip,37459959,37536925,40955583,40955583,34140333,40955583,2127947,5.67,-,-,10
surp_dedup,small_objects,encode,72266500,73933217,90686125,90686125,65170167,90686125,8698865,11.77,173.6,12544271,10
surp_dedup,small_objects,decode,52247583,52379942,65375208,65375208,45110750,65375208,6376308,12.17,240.1,12544271,10
json,small_objects,encode,17543166,18011063,20006375,20006375,17018209,20006375,1136089,6.31,629.5,11043299,10
json,small_objects,decode,64717292,65135954,71764583,71764583,62614459,71764583,2890605,4.44,170.6,11043299,10
json,small_objects,roundtrip,85053042,86225013,95081417,95081417,82621916,95081417,4532942,5.26,-,-,10
msgpack,small_objects,encode,14512000,14358608,14909334,14909334,13557458,14909334,404961,2.82,566.3,8218533,10
msgpack,small_objects,decode,61625166,65235075,85137167,85137167,60876625,85137167,7434973,11.40,133.4,8218533,10
msgpack,small_objects,roundtrip,67949708,69124683,77353167,77353167,65582250,77353167,4035032,5.84,-,-,10
cbor,small_objects,encode,15828875,15875558,16334875,16334875,15721042,16334875,182076,1.15,523.8,8290641,10
cbor,small_objects,decode,131485500,134961696,196477208,196477208,109348750,196477208,25162309,18.64,63.1,8290641,10
cbor,small_objects,roundtrip,132000083,133418912,140961625,140961625,128136750,140961625,4403654,3.30,-,-,10
protobuf,small_objects,encode,25565416,26065021,29562625,29562625,23948417,29562625,1752810,6.72,466.8,11933477,10
protobuf,small_objects,decode,76721959,77745692,92794958,92794958,73977083,92794958,5690290,7.32,155.5,11933477,10
protobuf,small_objects,roundtrip,111780708,111776296,140829125,140829125,99061583,140829125,12596558,11.27,-,-,10
surp,string_heavy,encode,1067500,1068742,1095917,1095917,1060333,1095917,10330,0.97,999.4,1066808,10
surp,string_heavy,decode,1906750,1907350,1944333,1944333,1890667,1944333,17781,0.93,559.5,1066808,10
surp,string_heavy,roundtrip,2983791,2995333,3087792,3087792,2952166,3087792,38846,1.30,-,-,10
surp_dedup,string_heavy,encode,4787750,4795884,4910292,4910292,4721750,4910292,61402,1.28,142.9,684352,10
surp_dedup,string_heavy,decode,3083875,3080892,3188916,3188916,3022500,3188916,45295,1.47,221.9,684352,10
json,string_heavy,encode,1207500,1211762,1292292,1292292,1165125,1292292,40163,3.31,916.6,1106773,10
json,string_heavy,decode,5159708,5195592,5399625,5399625,5098416,5399625,95175,1.83,214.5,1106773,10
json,string_heavy,roundtrip,6553500,6493392,6770583,6770583,6306541,6770583,141410,2.18,-,-,10
msgpack,string_heavy,encode,1009000,1055538,1716292,1716292,911542,1716292,237398,22.49,939.5,948000,10
msgpack,string_heavy,decode,4439459,4441750,4530625,4530625,4403500,4530625,36155,0.81,213.5,948000,10
msgpack,string_heavy,roundtrip,5422750,5422021,5504000,5504000,5367500,5504000,39950,0.74,-,-,10
cbor,string_heavy,encode,1064083,1063746,1075584,1075584,1057000,1075584,5185,0.49,892.1,949239,10
cbor,string_heavy,decode,7587709,7619862,7993042,7993042,7529292,7993042,135180,1.77,125.1,949239,10
cbor,string_heavy,roundtrip,8760292,8770933,8873416,8873416,8648541,8873416,64460,0.73,-,-,10
protobuf,string_heavy,encode,1984084,1983908,1991375,1991375,1977375,1991375,4676,0.24,614.5,1219215,10
protobuf,string_heavy,decode,6052375,6047362,6071334,6071334,6025583,6071334,17188,0.28,201.4,1219215,10
protobuf,string_heavy,roundtrip,8109667,8107512,8183417,8183417,8028583,8183417,64735,0.80,-,-,10
surp,nested_deep,encode,2421166,2697408,5110250,5110250,2412417,5110250,848013,31.44,451.0,1092033,10
surp,nested_deep,decode,4750167,4748588,4797000,4797000,4731084,4797000,20157,0.42,229.9,1092033,10
surp,nested_deep,roundtrip,6474583,6616175,7164375,7164375,6414250,7164375,297505,4.50,-,-,10
surp_dedup,nested_deep,encode,10519791,10530300,10768500,10768500,10393708,10768500,102120,0.97,154.1,1621048,10
surp_dedup,nested_deep,decode,8085834,8355692,9074334,9074334,8058208,9074334,456573,5.46,200.5,1621048,10
json,nested_deep,encode,2434083,2569567,3282708,3282708,2222917,3282708,355678,13.84,516.7,1257725,10
json,nested_deep,decode,9935292,9945408,10041500,10041500,9825042,10041500,69230,0.70,126.6,1257725,10
json,nested_deep,roundtrip,13021750,13239138,14323625,14323625,12867292,14323625,479474,3.62,-,-,10
msgpack,nested_deep,encode,2252000,2269792,2460542,2460542,2190458,2460542,79403,3.50,379.7,855111,10
msgpack,nested_deep,decode,9082375,8999008,9206750,9206750,8822875,9206750,146024,1.62,94.2,855111,10
msgpack,nested_deep,roundtrip,11737292,12243342,17500209,17500209,11191292,17500209,1868846,15.26,-,-,10
cbor,nested_deep,encode,2836542,2870129,3084167,3084167,2654041,3084167,150900,5.26,301.5,855302,10
cbor,nested_deep,decode,14713791,14685675,14825166,14825166,14501083,14825166,113415,0.77,58.1,855302,10
cbor,nested_deep,roundtrip,17941250,17973412,18480833,18480833,17762916,18480833,207959,1.16,-,-,10
protobuf,nested_deep,encode,32348292,32036358,33534083,33534083,30002500,33534083,1253394,3.91,46.6,1506305,10
